"year","fn_status","counterparty","Sum(hospitalisations)"
2011,"First Nations people","Car, pick-up truck or van",391
2011,"First Nations people","Fixed or stationary object",192
2011,"First Nations people","Non-collision transport accident",362
2011,"First Nations people","Other",222
2011,"Non-Indigenous","Car, pick-up truck or van",13293
2011,"Non-Indigenous","Fixed or stationary object",4601
2011,"Non-Indigenous","Non-collision transport accident",8059
2011,"Non-Indigenous","Other",6044
2012,"First Nations people","Car, pick-up truck or van",476
2012,"First Nations people","Fixed or stationary object",226
2012,"First Nations people","Non-collision transport accident",466
2012,"First Nations people","Other",236
2012,"Non-Indigenous","Car, pick-up truck or van",13010
2012,"Non-Indigenous","Fixed or stationary object",4549
2012,"Non-Indigenous","Non-collision transport accident",8130
2012,"Non-Indigenous","Other",6101
2013,"First Nations people","Car, pick-up truck or van",430
2013,"First Nations people","Fixed or stationary object",255
2013,"First Nations people","Non-collision transport accident",503
2013,"First Nations people","Other",226
2013,"Non-Indigenous","Car, pick-up truck or van",13276
2013,"Non-Indigenous","Fixed or stationary object",4584
2013,"Non-Indigenous","Non-collision transport accident",8729
2013,"Non-Indigenous","Other",6250
2014,"First Nations people","Car, pick-up truck or van",461
2014,"First Nations people","Fixed or stationary object",271
2014,"First Nations people","Non-collision transport accident",479
2014,"First Nations people","Other",245
2014,"Non-Indigenous","Car, pick-up truck or van",13543
2014,"Non-Indigenous","Fixed or stationary object",4668
2014,"Non-Indigenous","Non-collision transport accident",8957
2014,"Non-Indigenous","Other",6193
2015,"First Nations people","Car, pick-up truck or van",497
2015,"First Nations people","Fixed or stationary object",275
2015,"First Nations people","Non-collision transport accident",573
2015,"First Nations people","Other",255
2015,"Non-Indigenous","Car, pick-up truck or van",14538
2015,"Non-Indigenous","Fixed or stationary object",4920
2015,"Non-Indigenous","Non-collision transport accident",9125
2015,"Non-Indigenous","Other",6190
2016,"First Nations people","Car, pick-up truck or van",540
2016,"First Nations people","Fixed or stationary object",304
2016,"First Nations people","Non-collision transport accident",554
2016,"First Nations people","Other",271
2016,"Non-Indigenous","Car, pick-up truck or van",15759
2016,"Non-Indigenous","Fixed or stationary object",5212
2016,"Non-Indigenous","Non-collision transport accident",9204
2016,"Non-Indigenous","Other",6509
2017,"First Nations people","Car, pick-up truck or van",595
2017,"First Nations people","Fixed or stationary object",303
2017,"First Nations people","Non-collision transport accident",567
2017,"First Nations people","Other",268
2017,"Non-Indigenous","Car, pick-up truck or van",16144
2017,"Non-Indigenous","Fixed or stationary object",5052
2017,"Non-Indigenous","Non-collision transport accident",9378
2017,"Non-Indigenous","Other",6456
2018,"First Nations people","Car, pick-up truck or van",608
2018,"First Nations people","Fixed or stationary object",345
2018,"First Nations people","Non-collision transport accident",711
2018,"First Nations people","Other",266
2018,"Non-Indigenous","Car, pick-up truck or van",16018
2018,"Non-Indigenous","Fixed or stationary object",5149
2018,"Non-Indigenous","Non-collision transport accident",9538
2018,"Non-Indigenous","Other",6493
2019,"First Nations people","Car, pick-up truck or van",628
2019,"First Nations people","Fixed or stationary object",338
2019,"First Nations people","Non-collision transport accident",602
2019,"First Nations people","Other",288
2019,"Non-Indigenous","Car, pick-up truck or van",16283
2019,"Non-Indigenous","Fixed or stationary object",5101
2019,"Non-Indigenous","Non-collision transport accident",9330
2019,"Non-Indigenous","Other",6768
2020,"First Nations people","Car, pick-up truck or van",733
2020,"First Nations people","Fixed or stationary object",467
2020,"First Nations people","Non-collision transport accident",732
2020,"First Nations people","Other",358
2020,"Non-Indigenous","Car, pick-up truck or van",13769
2020,"Non-Indigenous","Fixed or stationary object",5110
2020,"Non-Indigenous","Non-collision transport accident",10047
2020,"Non-Indigenous","Other",6260
2021,"First Nations people","Car, pick-up truck or van",746
2021,"First Nations people","Fixed or stationary object",369
2021,"First Nations people","Non-collision transport accident",742
2021,"First Nations people","Other",363
2021,"Non-Indigenous","Car, pick-up truck or van",15252
2021,"Non-Indigenous","Fixed or stationary object",5150
2021,"Non-Indigenous","Non-collision transport accident",9866
2021,"Non-Indigenous","Other",6487
