"Calendar year","Month","ABS remoteness area","Age group","Sex","Road user","Sum(Hospitalisations)"
2011,"April","Major Cities","0-7","Female","Car occupant",11
2011,"April","Major Cities","0-7","Female","Heavy transport",1
2011,"April","Major Cities","0-7","Female","Pedal cyclist",2
2011,"April","Major Cities","0-7","Female","Pedestrian",5
2011,"April","Major Cities","0-7","Male","Car occupant",9
2011,"April","Major Cities","0-7","Male","Motorcyclist",1
2011,"April","Major Cities","0-7","Male","Pedal cyclist",8
2011,"April","Major Cities","0-7","Male","Pedestrian",4
2011,"April","Major Cities","17-25","Female","Bus occupant",1
2011,"April","Major Cities","17-25","Female","Car occupant",113
2011,"April","Major Cities","17-25","Female","Motorcyclist",15
2011,"April","Major Cities","17-25","Female","Other or unknown",2
2011,"April","Major Cities","17-25","Female","Pedal cyclist",8
2011,"April","Major Cities","17-25","Female","Pedestrian",15
2011,"April","Major Cities","17-25","Female","Pick-up truck or van occupant",1
2011,"April","Major Cities","17-25","Male","Bus occupant",2
2011,"April","Major Cities","17-25","Male","Car occupant",122
2011,"April","Major Cities","17-25","Male","Heavy transport",0
2011,"April","Major Cities","17-25","Male","Motorcyclist",107
2011,"April","Major Cities","17-25","Male","Other or unknown",4
2011,"April","Major Cities","17-25","Male","Pedal cyclist",32
2011,"April","Major Cities","17-25","Male","Pedestrian",27
2011,"April","Major Cities","26-39","Female","Car occupant",103
2011,"April","Major Cities","26-39","Female","Motorcyclist",9
2011,"April","Major Cities","26-39","Female","Other or unknown",1
2011,"April","Major Cities","26-39","Female","Pedal cyclist",14
2011,"April","Major Cities","26-39","Female","Pedestrian",21
2011,"April","Major Cities","26-39","Female","Pick-up truck or van occupant",1
2011,"April","Major Cities","26-39","Male","Car occupant",97
2011,"April","Major Cities","26-39","Male","Heavy transport",8
2011,"April","Major Cities","26-39","Male","Motorcyclist",119
2011,"April","Major Cities","26-39","Male","Other or unknown",3
2011,"April","Major Cities","26-39","Male","Pedal cyclist",70
2011,"April","Major Cities","26-39","Male","Pedestrian",11
2011,"April","Major Cities","40-64","Female","Bus occupant",1
2011,"April","Major Cities","40-64","Female","Car occupant",125
2011,"April","Major Cities","40-64","Female","Motorcyclist",20
2011,"April","Major Cities","40-64","Female","Other or unknown",4
2011,"April","Major Cities","40-64","Female","Pedal cyclist",42
2011,"April","Major Cities","40-64","Female","Pedestrian",18
2011,"April","Major Cities","40-64","Female","Pick-up truck or van occupant",1
2011,"April","Major Cities","40-64","Male","Bus occupant",1
2011,"April","Major Cities","40-64","Male","Car occupant",108
2011,"April","Major Cities","40-64","Male","Heavy transport",8
2011,"April","Major Cities","40-64","Male","Motorcyclist",127
2011,"April","Major Cities","40-64","Male","Other or unknown",6
2011,"April","Major Cities","40-64","Male","Pedal cyclist",110
2011,"April","Major Cities","40-64","Male","Pedestrian",20
2011,"April","Major Cities","40-64","Male","Pick-up truck or van occupant",4
2011,"April","Major Cities","65-74","Female","Bus occupant",1
2011,"April","Major Cities","65-74","Female","Car occupant",41
2011,"April","Major Cities","65-74","Female","Motorcyclist",1
2011,"April","Major Cities","65-74","Female","Pedal cyclist",2
2011,"April","Major Cities","65-74","Female","Pedestrian",9
2011,"April","Major Cities","65-74","Male","Car occupant",25
2011,"April","Major Cities","65-74","Male","Heavy transport",1
2011,"April","Major Cities","65-74","Male","Motorcyclist",6
2011,"April","Major Cities","65-74","Male","Pedal cyclist",6
2011,"April","Major Cities","65-74","Male","Pedestrian",7
2011,"April","Major Cities","75+","Female","Bus occupant",3
2011,"April","Major Cities","75+","Female","Car occupant",41
2011,"April","Major Cities","75+","Female","Other or unknown",1
2011,"April","Major Cities","75+","Female","Pedestrian",21
2011,"April","Major Cities","75+","Male","Bus occupant",1
2011,"April","Major Cities","75+","Male","Car occupant",38
2011,"April","Major Cities","75+","Male","Motorcyclist",5
2011,"April","Major Cities","75+","Male","Other or unknown",1
2011,"April","Major Cities","75+","Male","Pedal cyclist",4
2011,"April","Major Cities","75+","Male","Pedestrian",11
2011,"April","Major Cities","8-16","Female","Car occupant",18
2011,"April","Major Cities","8-16","Female","Motorcyclist",2
2011,"April","Major Cities","8-16","Female","Pedal cyclist",15
2011,"April","Major Cities","8-16","Female","Pedestrian",8
2011,"April","Major Cities","8-16","Male","Car occupant",11
2011,"April","Major Cities","8-16","Male","Motorcyclist",21
2011,"April","Major Cities","8-16","Male","Pedal cyclist",33
2011,"April","Major Cities","8-16","Male","Pedestrian",12
2011,"April","Missing","0-7","Female","Car occupant",1
2011,"April","Missing","0-7","Male","Pedal cyclist",1
2011,"April","Missing","17-25","Female","Car occupant",7
2011,"April","Missing","17-25","Female","Pedal cyclist",1
