"calendar year","age group","state or territory","Sum(count of cases excluding died in hospitals within 30 days)"
2011,"0-7","ACT",5
2011,"0-7","NSW",204
2011,"0-7","NT",7
2011,"0-7","QLD",197
2011,"0-7","SA",44
2011,"0-7","TAS",20
2011,"0-7","VIC",149
2011,"0-7","WA",84
2011,"17-25","ACT",118
2011,"17-25","NSW",2502
2011,"17-25","NT",119
2011,"17-25","QLD",1499
2011,"17-25","SA",527
2011,"17-25","TAS",126
2011,"17-25","VIC",2147
2011,"17-25","WA",856
2011,"26-39","ACT",142
2011,"26-39","NSW",2462
2011,"26-39","NT",134
2011,"26-39","QLD",1457
2011,"26-39","SA",541
2011,"26-39","TAS",97
2011,"26-39","VIC",2358
2011,"26-39","WA",823
2011,"40-64","ACT",177
2011,"40-64","NSW",3352
2011,"40-64","NT",124
2011,"40-64","QLD",1936
2011,"40-64","SA",774
2011,"40-64","TAS",143
2011,"40-64","VIC",3014
2011,"40-64","WA",1048
2011,"65-74","ACT",10
2011,"65-74","NSW",655
2011,"65-74","NT",8
2011,"65-74","QLD",330
2011,"65-74","SA",143
2011,"65-74","TAS",27
2011,"65-74","VIC",581
2011,"65-74","WA",183
2011,"75+","ACT",0
2011,"75+","NSW",688
2011,"75+","NT",0
2011,"75+","QLD",271
2011,"75+","SA",169
2011,"75+","TAS",34
2011,"75+","VIC",544
2011,"75+","WA",154
2011,"8-16","ACT",38
2011,"8-16","NSW",755
2011,"8-16","NT",54
2011,"8-16","QLD",632
2011,"8-16","SA",161
2011,"8-16","TAS",46
2011,"8-16","VIC",533
2011,"8-16","WA",294
2012,"0-7","ACT",0
2012,"0-7","NSW",246
2012,"0-7","NT",0
2012,"0-7","QLD",193
2012,"0-7","SA",40
2012,"0-7","TAS",19
2012,"0-7","VIC",126
2012,"0-7","WA",93
2012,"17-25","ACT",141
2012,"17-25","NSW",2516
2012,"17-25","NT",121
2012,"17-25","QLD",1647
2012,"17-25","SA",538
2012,"17-25","TAS",134
2012,"17-25","VIC",1891
2012,"17-25","WA",820
2012,"26-39","ACT",157
2012,"26-39","NSW",2640
2012,"26-39","NT",150
2012,"26-39","QLD",1593
2012,"26-39","SA",468
2012,"26-39","TAS",102
2012,"26-39","VIC",2050
2012,"26-39","WA",902
2012,"40-64","ACT",205
2012,"40-64","NSW",3591
2012,"40-64","NT",143
2012,"40-64","QLD",2139
2012,"40-64","SA",760
2012,"40-64","TAS",170
2012,"40-64","VIC",2531
2012,"40-64","WA",1028
2012,"65-74","ACT",7
2012,"65-74","NSW",664
2012,"65-74","NT",12
2012,"65-74","QLD",369
2012,"65-74","SA",150
2012,"65-74","TAS",27
2012,"65-74","VIC",526
2012,"65-74","WA",150
2012,"75+","ACT",0
2012,"75+","NSW",705
2012,"75+","NT",0
2012,"75+","QLD",310
2012,"75+","SA",216
2012,"75+","TAS",42
2012,"75+","VIC",552
2012,"75+","WA",186
2012,"8-16","ACT",36
2012,"8-16","NSW",759
2012,"8-16","NT",46
2012,"8-16","QLD",562
2012,"8-16","SA",139
2012,"8-16","TAS",42
2012,"8-16","VIC",422
2012,"8-16","WA",314
2013,"0-7","ACT",0
2013,"0-7","NSW",238
2013,"0-7","NT",0
2013,"0-7","QLD",217
2013,"0-7","SA",34
2013,"0-7","TAS",8
2013,"0-7","VIC",128
2013,"0-7","WA",70
2013,"17-25","ACT",109
2013,"17-25","NSW",2545
2013,"17-25","NT",149
2013,"17-25","QLD",1720
2013,"17-25","SA",461
2013,"17-25","TAS",135
2013,"17-25","VIC",1679
2013,"17-25","WA",816
2013,"26-39","ACT",160
2013,"26-39","NSW",2625
2013,"26-39","NT",166
2013,"26-39","QLD",1841
2013,"26-39","SA",508
2013,"26-39","TAS",122
2013,"26-39","VIC",1928
2013,"26-39","WA",929
2013,"40-64","ACT",204
2013,"40-64","NSW",3733
2013,"40-64","NT",146
2013,"40-64","QLD",2603
2013,"40-64","SA",735
2013,"40-64","TAS",162
2013,"40-64","VIC",2605
2013,"40-64","WA",1061
2013,"65-74","ACT",34
2013,"65-74","NSW",773
2013,"65-74","NT",15
2013,"65-74","QLD",426
2013,"65-74","SA",129
2013,"65-74","TAS",45
2013,"65-74","VIC",536
2013,"65-74","WA",180
2013,"75+","ACT",0
2013,"75+","NSW",736
2013,"75+","NT",0
2013,"75+","QLD",355
2013,"75+","SA",178
2013,"75+","TAS",15
2013,"75+","VIC",547
2013,"75+","WA",153
2013,"8-16","ACT",26
2013,"8-16","NSW",771
2013,"8-16","NT",60
2013,"8-16","QLD",659
2013,"8-16","SA",176
2013,"8-16","TAS",48
2013,"8-16","VIC",361
2013,"8-16","WA",266
2014,"0-7","ACT",6
2014,"0-7","NSW",217
2014,"0-7","NT",0
2014,"0-7","QLD",216
2014,"0-7","SA",45
2014,"0-7","TAS",7
2014,"0-7","VIC",137
2014,"0-7","WA",79
2014,"17-25","ACT",123
2014,"17-25","NSW",2328
2014,"17-25","NT",154
2014,"17-25","QLD",1751
2014,"17-25","SA",509
2014,"17-25","TAS",136
2014,"17-25","VIC",1807
2014,"17-25","WA",675
2014,"26-39","ACT",147
2014,"26-39","NSW",2702
2014,"26-39","NT",172
2014,"26-39","QLD",1819
2014,"26-39","SA",521
2014,"26-39","TAS",149
2014,"26-39","VIC",2092
2014,"26-39","WA",834
2014,"40-64","ACT",171
2014,"40-64","NSW",3749
2014,"40-64","NT",165
2014,"40-64","QLD",2546
2014,"40-64","SA",836
2014,"40-64","TAS",207
2014,"40-64","VIC",2870
2014,"40-64","WA",1004
2014,"65-74","ACT",30
2014,"65-74","NSW",842
2014,"65-74","NT",10
2014,"65-74","QLD",457
2014,"65-74","SA",152
2014,"65-74","TAS",16
2014,"65-74","VIC",619
2014,"65-74","WA",169
2014,"75+","ACT",13
2014,"75+","NSW",816
2014,"75+","NT",7
2014,"75+","QLD",343
2014,"75+","SA",171
2014,"75+","TAS",59
2014,"75+","VIC",555
2014,"75+","WA",149
2014,"8-16","ACT",33
2014,"8-16","NSW",659
2014,"8-16","NT",48
2014,"8-16","QLD",593
2014,"8-16","SA",147
2014,"8-16","TAS",50
2014,"8-16","VIC",443
2014,"8-16","WA",244
2015,"0-7","ACT",7
2015,"0-7","NSW",212
2015,"0-7","NT",6
2015,"0-7","QLD",206
2015,"0-7","SA",37
2015,"0-7","TAS",0
2015,"0-7","VIC",167
2015,"0-7","WA",90
2015,"17-25","ACT",130
2015,"17-25","NSW",2402
2015,"17-25","NT",157
2015,"17-25","QLD",1769
2015,"17-25","SA",482
2015,"17-25","TAS",157
2015,"17-25","VIC",1829
2015,"17-25","WA",655
2015,"26-39","ACT",171
2015,"26-39","NSW",2563
2015,"26-39","NT",197
2015,"26-39","QLD",1928
2015,"26-39","SA",550
2015,"26-39","TAS",160
2015,"26-39","VIC",2351
2015,"26-39","WA",803
2015,"40-64","ACT",250
2015,"40-64","NSW",3679
2015,"40-64","NT",241
2015,"40-64","QLD",2780
2015,"40-64","SA",856
2015,"40-64","TAS",218
2015,"40-64","VIC",3031
2015,"40-64","WA",994
2015,"65-74","ACT",52
2015,"65-74","NSW",786
2015,"65-74","NT",14
2015,"65-74","QLD",517
2015,"65-74","SA",178
2015,"65-74","TAS",44
2015,"65-74","VIC",662
2015,"65-74","WA",183
2015,"75+","ACT",31
2015,"75+","NSW",790
2015,"75+","NT",7
2015,"75+","QLD",445
2015,"75+","SA",205
2015,"75+","TAS",0
2015,"75+","VIC",646
2015,"75+","WA",171
2015,"8-16","ACT",43
2015,"8-16","NSW",652
2015,"8-16","NT",57
2015,"8-16","QLD",661
2015,"8-16","SA",159
2015,"8-16","TAS",52
2015,"8-16","VIC",512
2015,"8-16","WA",287
2016,"0-7","ACT",12
2016,"0-7","NSW",174
2016,"0-7","NT",8
2016,"0-7","QLD",201
2016,"0-7","SA",50
2016,"0-7","TAS",11
2016,"0-7","VIC",173
2016,"0-7","WA",82
2016,"17-25","ACT",138
2016,"17-25","NSW",2415
2016,"17-25","NT",197
2016,"17-25","QLD",2021
2016,"17-25","SA",565
2016,"17-25","TAS",182
2016,"17-25","VIC",2125
2016,"17-25","WA",577
2016,"26-39","ACT",154
2016,"26-39","NSW",2713
2016,"26-39","NT",198
2016,"26-39","QLD",2065
2016,"26-39","SA",561
2016,"26-39","TAS",128
2016,"26-39","VIC",2649
2016,"26-39","WA",743
2016,"40-64","ACT",214
2016,"40-64","NSW",3835
2016,"40-64","NT",192
2016,"40-64","QLD",2785
2016,"40-64","SA",877
2016,"40-64","TAS",184
2016,"40-64","VIC",3487
2016,"40-64","WA",1022
2016,"65-74","ACT",28
2016,"65-74","NSW",832
2016,"65-74","NT",11
2016,"65-74","QLD",553
2016,"65-74","SA",224
2016,"65-74","TAS",46
2016,"65-74","VIC",725
2016,"65-74","WA",187
2016,"75+","ACT",43
2016,"75+","NSW",800
2016,"75+","NT",13
2016,"75+","QLD",433
2016,"75+","SA",222
2016,"75+","TAS",46
2016,"75+","VIC",673
2016,"75+","WA",163
2016,"8-16","ACT",51
2016,"8-16","NSW",705
2016,"8-16","NT",61
2016,"8-16","QLD",644
2016,"8-16","SA",155
2016,"8-16","TAS",60
2016,"8-16","VIC",528
2016,"8-16","WA",257
2017,"0-7","ACT",0
2017,"0-7","NSW",190
2017,"0-7","NT",20
2017,"0-7","QLD",217
2017,"0-7","SA",40
2017,"0-7","TAS",0
2017,"0-7","VIC",193
2017,"0-7","WA",63
2017,"17-25","ACT",113
2017,"17-25","NSW",2393
2017,"17-25","NT",179
2017,"17-25","QLD",2041
2017,"17-25","SA",463
2017,"17-25","TAS",149
2017,"17-25","VIC",2212
2017,"17-25","WA",612
2017,"26-39","ACT",153
2017,"26-39","NSW",2510
2017,"26-39","NT",197
2017,"26-39","QLD",2142
2017,"26-39","SA",525
2017,"26-39","TAS",104
2017,"26-39","VIC",2763
2017,"26-39","WA",804
2017,"40-64","ACT",237
2017,"40-64","NSW",3647
2017,"40-64","NT",204
2017,"40-64","QLD",3004
2017,"40-64","SA",791
2017,"40-64","TAS",233
2017,"40-64","VIC",3607
2017,"40-64","WA",1080
2017,"65-74","ACT",42
2017,"65-74","NSW",847
2017,"65-74","NT",30
2017,"65-74","QLD",580
2017,"65-74","SA",205
2017,"65-74","TAS",68
2017,"65-74","VIC",784
2017,"65-74","WA",177
2017,"75+","ACT",0
2017,"75+","NSW",799
2017,"75+","NT",17
2017,"75+","QLD",451
2017,"75+","SA",220
2017,"75+","TAS",0
2017,"75+","VIC",661
2017,"75+","WA",171
2017,"8-16","ACT",40
2017,"8-16","NSW",630
2017,"8-16","NT",56
2017,"8-16","QLD",699
2017,"8-16","SA",150
2017,"8-16","TAS",50
2017,"8-16","VIC",574
2017,"8-16","WA",288
2018,"0-7","ACT",14
2018,"0-7","NSW",130
2018,"0-7","NT",12
2018,"0-7","QLD",204
2018,"0-7","SA",36
2018,"0-7","TAS",8
2018,"0-7","VIC",228
2018,"0-7","WA",76
2018,"17-25","ACT",143
2018,"17-25","NSW",1974
2018,"17-25","NT",221
2018,"17-25","QLD",2061
2018,"17-25","SA",482
2018,"17-25","TAS",164
2018,"17-25","VIC",2311
2018,"17-25","WA",627
2018,"26-39","ACT",171
2018,"26-39","NSW",2285
2018,"26-39","NT",256
2018,"26-39","QLD",2286
2018,"26-39","SA",572
2018,"26-39","TAS",161
2018,"26-39","VIC",2862
2018,"26-39","WA",808
2018,"40-64","ACT",248
2018,"40-64","NSW",3283
2018,"40-64","NT",241
2018,"40-64","QLD",3052
2018,"40-64","SA",853
2018,"40-64","TAS",266
2018,"40-64","VIC",3780
2018,"40-64","WA",1111
2018,"65-74","ACT",50
2018,"65-74","NSW",779
2018,"65-74","NT",21
2018,"65-74","QLD",621
2018,"65-74","SA",180
2018,"65-74","TAS",69
2018,"65-74","VIC",900
2018,"65-74","WA",217
2018,"75+","ACT",49
2018,"75+","NSW",781
2018,"75+","NT",7
2018,"75+","QLD",486
2018,"75+","SA",187
2018,"75+","TAS",30
2018,"75+","VIC",795
2018,"75+","WA",176
2018,"8-16","ACT",37
2018,"8-16","NSW",562
2018,"8-16","NT",66
