"calendar year","state or territory","sex","Sum(count of cases excluding died in hospitals within 30 days)"
2011,"ACT","Female",158
2011,"ACT","Male",379
2011,"NSW","Female",3729
2011,"NSW","Male",6889
2011,"NT","Female",121
2011,"NT","Male",335
2011,"QLD","Female",1948
2011,"QLD","Male",4374
2011,"SA","Female",834
2011,"SA","Male",1525
2011,"TAS","Female",159
2011,"TAS","Male",334
2011,"VIC","Female",3397
2011,"VIC","Male",5929
2011,"WA","Female",1155
2011,"WA","Male",2287
2012,"ACT","Female",212
2012,"ACT","Male",389
2012,"NSW","Female",3798
2012,"NSW","Male",7323
2012,"NT","Female",154
2012,"NT","Male",342
2012,"QLD","Female",2117
2012,"QLD","Male",4696
2012,"SA","Female",802
2012,"SA","Male",1509
2012,"TAS","Female",167
2012,"TAS","Male",369
2012,"VIC","Female",3000
2012,"VIC","Male",5098
2012,"WA","Female",1114
2012,"WA","Male",2379
2013,"ACT","Female",207
2013,"ACT","Male",366
2013,"NSW","Female",3988
2013,"NSW","Male",7431
2013,"NT","Female",163
2013,"NT","Male",398
2013,"QLD","Female",2617
2013,"QLD","Male",5204
2013,"SA","Female",749
2013,"SA","Male",1472
2013,"TAS","Female",184
2013,"TAS","Male",386
2013,"VIC","Female",2803
2013,"VIC","Male",4981
2013,"WA","Female",1093
2013,"WA","Male",2382
2014,"ACT","Female",196
2014,"ACT","Male",346
2014,"NSW","Female",3963
2014,"NSW","Male",7350
2014,"NT","Female",174
2014,"NT","Male",401
2014,"QLD","Female",2599
2014,"QLD","Male",5126
2014,"SA","Female",756
2014,"SA","Male",1625
2014,"TAS","Female",205
2014,"TAS","Male",441
2014,"VIC","Female",3116
2014,"VIC","Male",5407
2014,"WA","Female",997
2014,"WA","Male",2157
2015,"ACT","Female",222
2015,"ACT","Male",478
2015,"NSW","Female",3886
2015,"NSW","Male",7198
2015,"NT","Female",242
2015,"NT","Male",449
2015,"QLD","Female",2863
2015,"QLD","Male",5443
2015,"SA","Female",860
2015,"SA","Male",1607
2015,"TAS","Female",216
2015,"TAS","Male",461
2015,"VIC","Female",3452
2015,"VIC","Male",5746
2015,"WA","Female",1086
2015,"WA","Male",2096
2016,"ACT","Female",205
2016,"ACT","Male",449
2016,"NSW","Female",4057
2016,"NSW","Male",7417
2016,"NT","Female",233
2016,"NT","Male",476
2016,"QLD","Female",3099
2016,"QLD","Male",5603
2016,"SA","Female",919
2016,"SA","Male",1735
2016,"TAS","Female",222
2016,"TAS","Male",435
2016,"VIC","Female",3954
2016,"VIC","Male",6406
2016,"WA","Female",966
2016,"WA","Male",2065
2017,"ACT","Female",245
2017,"ACT","Male",387
2017,"NSW","Female",3867
2017,"NSW","Male",7149
2017,"NT","Female",235
2017,"NT","Male",468
2017,"QLD","Female",3201
2017,"QLD","Male",5933
2017,"SA","Female",829
2017,"SA","Male",1565
2017,"TAS","Female",221
2017,"TAS","Male",438
2017,"VIC","Female",4117
2017,"VIC","Male",6677
2017,"WA","Female",1035
2017,"WA","Male",2160
2018,"ACT","Female",230
2018,"ACT","Male",482
2018,"NSW","Female",3343
2018,"NSW","Male",6451
2018,"NT","Female",322
2018,"NT","Male",510
2018,"QLD","Female",3333
2018,"QLD","Male",6048
2018,"SA","Female",867
2018,"SA","Male",1622
2018,"TAS","Female",296
2018,"TAS","Male",484
2018,"VIC","Female",4363
2018,"VIC","Male",7089
2018,"WA","Female",1135
2018,"WA","Male",2139
2019,"ACT","Female",234
2019,"ACT","Male",431
2019,"NSW","Female",3463
2019,"NSW","Male",6479
2019,"NT","Female",230
2019,"NT","Male",426
2019,"QLD","Female",3463
2019,"QLD","Male",6052
2019,"SA","Female",808
2019,"SA","Male",1649
2019,"TAS","Female",251
2019,"TAS","Male",457
2019,"VIC","Female",4459
2019,"VIC","Male",6932
2019,"WA","Female",1187
2019,"WA","Male",2347
2020,"ACT","Female",190
2020,"ACT","Male",436
2020,"NSW","Female",2997
2020,"NSW","Male",6277
2020,"NT","Female",225
2020,"NT","Male",561
2020,"QLD","Female",3422
2020,"QLD","Male",6379
2020,"SA","Female",793
2020,"SA","Male",1710
2020,"TAS","Female",273
2020,"TAS","Male",504
2020,"VIC","Female",3464
2020,"VIC","Male",6419
2020,"WA","Female",1172
2020,"WA","Male",2464
2021,"ACT","Female",234
2021,"ACT","Male",506
2021,"NSW","Female",2885
2021,"NSW","Male",6118
2021,"NT","Female",246
2021,"NT","Male",464
2021,"QLD","Female",3774
2021,"QLD","Male",6673
2021,"SA","Female",930
2021,"SA","Male",1702
2021,"TAS","Female",269
2021,"TAS","Male",536
2021,"VIC","Female",4031
2021,"VIC","Male",7098
2021,"WA","Female",1204
2021,"WA","Male",2364
