"year","counterparty","state","Sum(cases)"
2011,"Car, pick-up truck or van","ACT",177
2011,"Car, pick-up truck or van","NSW",4679
2011,"Car, pick-up truck or van","NT",107
2011,"Car, pick-up truck or van","Qld",2113
2011,"Car, pick-up truck or van","SA",961
2011,"Car, pick-up truck or van","Tas",172
2011,"Car, pick-up truck or van","Vic",4308
2011,"Car, pick-up truck or van","WA",1309
2011,"Fixed or stationary object","ACT",75
2011,"Fixed or stationary object","NSW",1543
2011,"Fixed or stationary object","NT",59
2011,"Fixed or stationary object","Qld",801
2011,"Fixed or stationary object","SA",402
2011,"Fixed or stationary object","Tas",85
2011,"Fixed or stationary object","Vic",1407
2011,"Fixed or stationary object","WA",493
2011,"Non-collision transport accident","ACT",177
2011,"Non-collision transport accident","NSW",2349
2011,"Non-collision transport accident","NT",198
2011,"Non-collision transport accident","Qld",1969
2011,"Non-collision transport accident","SA",650
2011,"Non-collision transport accident","Tas",138
2011,"Non-collision transport accident","Vic",1975
2011,"Non-collision transport accident","WA",1012
2011,"Other","ACT",108
2011,"Other","NSW",2047
2011,"Other","NT",92
2011,"Other","Qld",1439
2011,"Other","SA",346
2011,"Other","Tas",98
2011,"Other","Vic",1636
2011,"Other","WA",628
2012,"Car, pick-up truck or van","ACT",223
2012,"Car, pick-up truck or van","NSW",4832
2012,"Car, pick-up truck or van","NT",119
2012,"Car, pick-up truck or van","Qld",2332
2012,"Car, pick-up truck or van","SA",911
2012,"Car, pick-up truck or van","Tas",168
2012,"Car, pick-up truck or van","Vic",3730
2012,"Car, pick-up truck or van","WA",1252
2012,"Fixed or stationary object","ACT",77
2012,"Fixed or stationary object","NSW",1624
2012,"Fixed or stationary object","NT",52
2012,"Fixed or stationary object","Qld",976
2012,"Fixed or stationary object","SA",356
2012,"Fixed or stationary object","Tas",72
2012,"Fixed or stationary object","Vic",1218
2012,"Fixed or stationary object","WA",444
2012,"Non-collision transport accident","ACT",207
2012,"Non-collision transport accident","NSW",2506
2012,"Non-collision transport accident","NT",216
2012,"Non-collision transport accident","Qld",2026
2012,"Non-collision transport accident","SA",673
2012,"Non-collision transport accident","Tas",193
2012,"Non-collision transport accident","Vic",1695
2012,"Non-collision transport accident","WA",1124
2012,"Other","ACT",94
2012,"Other","NSW",2159
2012,"Other","NT",109
2012,"Other","Qld",1479
2012,"Other","SA",371
2012,"Other","Tas",103
2012,"Other","Vic",1455
2012,"Other","WA",673
2013,"Car, pick-up truck or van","ACT",186
2013,"Car, pick-up truck or van","NSW",5048
2013,"Car, pick-up truck or van","NT",124
2013,"Car, pick-up truck or van","Qld",2733
2013,"Car, pick-up truck or van","SA",842
2013,"Car, pick-up truck or van","Tas",179
2013,"Car, pick-up truck or van","Vic",3438
2013,"Car, pick-up truck or van","WA",1241
2013,"Fixed or stationary object","ACT",78
2013,"Fixed or stationary object","NSW",1630
2013,"Fixed or stationary object","NT",87
2013,"Fixed or stationary object","Qld",1012
2013,"Fixed or stationary object","SA",350
2013,"Fixed or stationary object","Tas",96
2013,"Fixed or stationary object","Vic",1177
2013,"Fixed or stationary object","WA",460
2013,"Non-collision transport accident","ACT",190
2013,"Non-collision transport accident","NSW",2690
2013,"Non-collision transport accident","NT",271
2013,"Non-collision transport accident","Qld",2414
2013,"Non-collision transport accident","SA",672
2013,"Non-collision transport accident","Tas",196
2013,"Non-collision transport accident","Vic",1751
2013,"Non-collision transport accident","WA",1048
2013,"Other","ACT",119
2013,"Other","NSW",2053
2013,"Other","NT",79
2013,"Other","Qld",1662
2013,"Other","SA",357
2013,"Other","Tas",99
2013,"Other","Vic",1418
2013,"Other","WA",726
2014,"Car, pick-up truck or van","ACT",191
2014,"Car, pick-up truck or van","NSW",5005
2014,"Car, pick-up truck or van","NT",145
2014,"Car, pick-up truck or van","Qld",2737
2014,"Car, pick-up truck or van","SA",914
2014,"Car, pick-up truck or van","Tas",203
2014,"Car, pick-up truck or van","Vic",3757
2014,"Car, pick-up truck or van","WA",1040
