"year","state","road_user","Sum(cases)"
2011,"ACT","Bus occupant",0
2011,"ACT","Car driver, passenger or unknown position",198
2011,"ACT","Heavy transport driver, passenger or unknown position",0
2011,"ACT","Motorcyclist",144
2011,"ACT","Other or unknown",0
2011,"ACT","Pedal cyclist",149
2011,"ACT","Pedestrian",30
2011,"ACT","Pick-up truck or van occupant",0
2011,"NSW","Bus occupant",90
2011,"NSW","Car driver, passenger or unknown position",5285
2011,"NSW","Heavy transport driver, passenger or unknown position",161
2011,"NSW","Motorcyclist",2393
2011,"NSW","Other or unknown",172
2011,"NSW","Pedal cyclist",1487
2011,"NSW","Pedestrian",967
2011,"NSW","Pick-up truck or van occupant",63
2011,"NT","Bus occupant",0
2011,"NT","Car driver, passenger or unknown position",209
2011,"NT","Motorcyclist",106
2011,"NT","Other or unknown",24
2011,"NT","Pedal cyclist",62
2011,"NT","Pedestrian",44
2011,"NT","Pick-up truck or van occupant",7
2011,"QLD","Bus occupant",29
2011,"QLD","Car driver, passenger or unknown position",2768
2011,"QLD","Heavy transport driver, passenger or unknown position",162
2011,"QLD","Motorcyclist",1781
2011,"QLD","Other or unknown",143
2011,"QLD","Pedal cyclist",955
2011,"QLD","Pedestrian",443
2011,"QLD","Pick-up truck or van occupant",41
2011,"SA","Bus occupant",14
2011,"SA","Car driver, passenger or unknown position",1255
2011,"SA","Heavy transport driver, passenger or unknown position",28
2011,"SA","Motorcyclist",460
2011,"SA","Other or unknown",0
2011,"SA","Pedal cyclist",379
2011,"SA","Pedestrian",176
2011,"SA","Pick-up truck or van occupant",11
2011,"TAS","Bus occupant",0
2011,"TAS","Car driver, passenger or unknown position",225
2011,"TAS","Heavy transport driver, passenger or unknown position",0
2011,"TAS","Motorcyclist",129
2011,"TAS","Other or unknown",0
2011,"TAS","Pedal cyclist",73
2011,"TAS","Pedestrian",45
2011,"TAS","Pick-up truck or van occupant",0
2011,"VIC","Bus occupant",39
2011,"VIC","Car driver, passenger or unknown position",4861
