"year","sex","state","Sum(cases)"
2011,"Female","ACT",158
2011,"Female","NSW",3729
2011,"Female","NT",121
2011,"Female","Qld",1948
2011,"Female","SA",834
2011,"Female","Tas",159
2011,"Female","Vic",3397
2011,"Female","WA",1155
2011,"Male","ACT",379
2011,"Male","NSW",6889
2011,"Male","NT",335
2011,"Male","Qld",4374
2011,"Male","SA",1525
2011,"Male","Tas",334
2011,"Male","Vic",5929
2011,"Male","WA",2287
2012,"Female","ACT",212
2012,"Female","NSW",3798
2012,"Female","NT",154
2012,"Female","Qld",2117
2012,"Female","SA",802
2012,"Female","Tas",167
2012,"Female","Vic",3000
2012,"Female","WA",1114
2012,"Male","ACT",389
2012,"Male","NSW",7323
2012,"Male","NT",342
2012,"Male","Qld",4696
2012,"Male","SA",1509
2012,"Male","Tas",369
2012,"Male","Vic",5098
2012,"Male","WA",2379
2013,"Female","ACT",207
2013,"Female","NSW",3988
2013,"Female","NT",163
2013,"Female","Qld",2617
2013,"Female","SA",749
2013,"Female","Tas",184
2013,"Female","Vic",2803
2013,"Female","WA",1093
2013,"Male","ACT",366
2013,"Male","NSW",7431
2013,"Male","NT",398
2013,"Male","Qld",5204
2013,"Male","SA",1472
2013,"Male","Tas",386
2013,"Male","Vic",4981
2013,"Male","WA",2382
2014,"Female","ACT",196
2014,"Female","NSW",3963
2014,"Female","NT",174
2014,"Female","Qld",2599
2014,"Female","SA",756
2014,"Female","Tas",205
2014,"Female","Vic",3116
2014,"Female","WA",997
2014,"Male","ACT",346
2014,"Male","NSW",7350
2014,"Male","NT",401
2014,"Male","Qld",5126
2014,"Male","SA",1625
2014,"Male","Tas",441
2014,"Male","Vic",5407
2014,"Male","WA",2157
2015,"Female","ACT",222
2015,"Female","NSW",3886
2015,"Female","NT",242
2015,"Female","Qld",2863
2015,"Female","SA",860
2015,"Female","Tas",216
2015,"Female","Vic",3452
2015,"Female","WA",1086
2015,"Male","ACT",478
2015,"Male","NSW",7198
2015,"Male","NT",449
2015,"Male","Qld",5443
2015,"Male","SA",1607
2015,"Male","Tas",461
2015,"Male","Vic",5746
2015,"Male","WA",2096
2016,"Female","ACT",205
2016,"Female","NSW",4057
2016,"Female","NT",233
2016,"Female","Qld",3099
2016,"Female","SA",919
2016,"Female","Tas",222
2016,"Female","Vic",3954
2016,"Female","WA",966
2016,"Male","ACT",449
2016,"Male","NSW",7417
2016,"Male","NT",476
2016,"Male","Qld",5603
2016,"Male","SA",1735
2016,"Male","Tas",435
2016,"Male","Vic",6406
2016,"Male","WA",2065
2017,"Female","ACT",245
2017,"Female","NSW",3867
2017,"Female","NT",235
2017,"Female","Qld",3201
2017,"Female","SA",829
2017,"Female","Tas",221
2017,"Female","Vic",4117
2017,"Female","WA",1035
2017,"Male","ACT",387
2017,"Male","NSW",7149
2017,"Male","NT",468
2017,"Male","Qld",5933
2017,"Male","SA",1565
2017,"Male","Tas",438
2017,"Male","Vic",6677
2017,"Male","WA",2160
2018,"Female","ACT",230
2018,"Female","NSW",3343
2018,"Female","NT",322
2018,"Female","Qld",3333
2018,"Female","SA",867
2018,"Female","Tas",296
2018,"Female","Vic",4363
2018,"Female","WA",1135
2018,"Male","ACT",482
2018,"Male","NSW",6451
2018,"Male","NT",510
2018,"Male","Qld",6048
2018,"Male","SA",1622
2018,"Male","Tas",484
2018,"Male","Vic",7089
2018,"Male","WA",2139
2019,"Female","ACT",234
2019,"Female","NSW",3463
2019,"Female","NT",230
2019,"Female","Qld",3463
2019,"Female","SA",808
2019,"Female","Tas",251
2019,"Female","Vic",4459
2019,"Female","WA",1187
2019,"Male","ACT",431
2019,"Male","NSW",6479
2019,"Male","NT",426
2019,"Male","Qld",6052
2019,"Male","SA",1649
2019,"Male","Tas",457
2019,"Male","Vic",6932
2019,"Male","WA",2347
2020,"Female","ACT",190
2020,"Female","NSW",2997
2020,"Female","NT",225
2020,"Female","Qld",3422
2020,"Female","SA",793
2020,"Female","Tas",273
2020,"Female","Vic",3464
2020,"Female","WA",1172
2020,"Male","ACT",436
2020,"Male","NSW",6277
2020,"Male","NT",561
2020,"Male","Qld",6379
2020,"Male","SA",1710
2020,"Male","Tas",504
2020,"Male","Vic",6419
2020,"Male","WA",2464
2021,"Female","ACT",234
2021,"Female","NSW",2885
2021,"Female","NT",246
2021,"Female","Qld",3774
2021,"Female","SA",930
2021,"Female","Tas",269
2021,"Female","Vic",4031
2021,"Female","WA",1204
2021,"Male","ACT",506
2021,"Male","NSW",6118
2021,"Male","NT",464
2021,"Male","Qld",6673
2021,"Male","SA",1702
2021,"Male","Tas",536
2021,"Male","Vic",7098
2021,"Male","WA",2364
